Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,62.180000,62.959999,62.070000,62.490002,54.462791,12600000
2015-01-05,62.060001,62.279999,60.230000,60.549999,52.771992,20100600
2015-01-06,60.639999,60.750000,58.349998,58.980000,51.403664,29074100
2015-01-07,59.889999,59.889999,58.669998,59.070000,51.482113,23843200
2015-01-08,59.970001,60.900002,59.970001,60.389999,52.632545,16971100
2015-01-09,60.720001,60.790001,59.290001,59.340000,51.717422,15396200
2015-01-12,59.279999,59.400002,58.270000,58.830002,51.272942,15455200
2015-01-13,59.259998,59.700001,58.369999,58.840000,51.281654,21644700
2015-01-14,58.840000,58.840000,55.270000,56.810001,49.512424,49602300
2015-01-15,55.730000,56.610001,54.500000,54.990002,47.926212,42458100
2015-01-16,54.660000,56.000000,54.639999,55.930000,48.745457,29368900
2015-01-20,56.040001,56.389999,55.419998,55.709999,48.553715,23477700
2015-01-21,55.450001,56.419998,55.189999,55.889999,48.710598,21842400
2015-01-22,56.380001,57.730000,55.959999,57.590000,50.192234,31423500
2015-01-23,57.720001,57.869999,56.660000,56.680000,49.399124,15458300
2015-01-26,56.410000,56.990002,56.200001,56.770000,49.477551,12577700
2015-01-27,56.049999,56.610001,55.759998,56.200001,48.980774,15220500
2015-01-28,56.619999,56.680000,54.750000,54.750000,47.717037,24354400
2015-01-29,55.270000,55.889999,54.680000,55.669998,48.518856,20393300
2015-01-30,54.990002,55.500000,54.369999,54.380001,47.394573,26943700
2015-02-02,54.529999,55.650002,54.270000,55.470001,48.344551,20308900
2015-02-03,55.910000,56.779999,55.869999,56.720001,49.433983,18812500
2015-02-04,56.320000,57.070000,56.279999,56.380001,49.137653,14934100
2015-02-05,56.860001,57.040001,56.459999,56.770000,49.477551,11293900
2015-02-06,57.750000,58.730000,57.540001,57.889999,50.453690,25214000
2015-02-09,57.419998,58.099998,57.230000,57.820000,50.392677,14372400
2015-02-10,58.419998,58.709999,58.049999,58.459999,50.950466,16367300
2015-02-11,58.060001,58.660000,57.840000,58.369999,50.872017,13061900
2015-02-12,58.930000,59.709999,58.549999,59.570000,51.917877,23211300
2015-02-13,59.459999,60.220001,59.340000,59.669998,52.005032,16479100
2015-02-17,59.360001,60.139999,59.320000,60.099998,52.379795,15308800
2015-02-18,60.099998,60.099998,59.119999,59.369999,51.743568,14278100
2015-02-19,59.150002,59.480000,58.799999,59.230000,51.621559,11256500
2015-02-20,58.959999,59.889999,58.349998,59.799999,52.118340,15379000
2015-02-23,59.500000,59.529999,58.799999,59.349998,51.726139,16814000
2015-02-24,60.250000,61.250000,60.080002,60.820000,53.007313,22937700
2015-02-25,60.759998,61.270000,60.750000,61.139999,53.286198,18307900
2015-02-26,61.029999,61.700001,60.910000,61.580002,53.669682,15444800
2015-02-27,61.130001,61.919998,61.130001,61.279999,53.408215,15225900
2015-03-02,61.279999,61.830002,61.029999,61.770000,53.835274,13047300
2015-03-03,61.650002,61.990002,61.500000,61.970001,54.009583,13706900
2015-03-04,61.639999,62.169998,61.349998,62.130001,54.149033,16625500
2015-03-05,62.200001,62.230000,61.599998,62.000000,54.035732,10931300
2015-03-06,62.160000,62.869999,60.799999,60.889999,53.068321,22719200
2015-03-09,60.840000,61.630001,60.799999,61.500000,53.599957,13001500
2015-03-10,60.759998,61.009998,59.959999,59.959999,52.257778,16357700
2015-03-11,60.130001,60.650002,59.959999,60.240002,52.501816,13015600
2015-03-12,60.650002,61.450001,60.650002,61.369999,53.486660,18159600
2015-03-13,61.400002,61.860001,60.430000,61.000000,53.164192,16506200
2015-03-16,61.500000,61.919998,61.250000,61.849998,53.904999,15182900
2015-03-17,61.340000,61.660000,60.919998,61.610001,53.695831,11718300
2015-03-18,61.389999,62.049999,61.090000,61.750000,53.817848,15697900
2015-03-19,61.570000,61.650002,60.759998,61.200001,53.338497,11523800
2015-03-20,61.320000,62.099998,61.150002,61.750000,53.817848,18368300
2015-03-23,61.750000,62.080002,61.119999,61.139999,53.286198,15112900
2015-03-24,60.970001,61.240002,60.450001,60.459999,52.693542,12128700
2015-03-25,60.529999,60.639999,59.590000,59.610001,51.952755,14950900
2015-03-26,59.459999,59.790001,58.869999,59.540001,51.891739,14039600
2015-03-27,59.490002,59.779999,59.000000,59.549999,51.900444,11755800
2015-03-30,60.880001,61.459999,60.610001,60.959999,53.129330,20656500
2015-03-31,60.720001,60.939999,60.419998,60.580002,52.798134,17346700
2015-04-01,60.410000,60.570000,59.730000,59.950001,52.596352,18100600
2015-04-02,60.070000,60.700001,60.000000,60.520000,53.096436,12697800
2015-04-06,59.919998,60.750000,59.650002,60.470001,53.052570,12025200
2015-04-07,61.150002,61.500000,60.849998,60.849998,53.385956,11505500
2015-04-08,61.060001,61.560001,60.939999,61.049999,53.561417,11734000
2015-04-09,61.270000,61.580002,60.830002,61.470001,53.929909,11728500
2015-04-10,61.349998,61.779999,61.200001,61.700001,54.131695,9869700
2015-04-13,61.639999,62.270000,61.500000,62.070000,54.456306,15468700
2015-04-14,62.959999,63.610001,62.740002,63.040001,55.307327,33775400
2015-04-15,63.080002,64.480003,63.009998,64.209999,56.333805,28732200
2015-04-16,64.080002,64.269997,63.660000,63.810001,55.982883,16640500
2015-04-17,63.250000,63.400002,62.490002,62.840000,55.131851,20221200
2015-04-20,63.220001,63.520000,63.139999,63.240002,55.482792,12755300
2015-04-21,63.330002,63.599998,62.130001,62.310001,54.666874,14985100
2015-04-22,62.650002,63.150002,62.029999,62.939999,55.219585,14484700
2015-04-23,62.790001,63.209999,62.599998,62.799999,55.096760,12851300
2015-04-24,62.630001,62.840000,62.340000,62.599998,54.921291,9597500
2015-04-27,62.700001,63.150002,62.310001,62.340000,54.693184,11146400
2015-04-28,62.490002,62.779999,61.770000,62.759998,55.061661,12307800
2015-04-29,62.560001,63.889999,62.459999,63.599998,55.798630,17601200
2015-04-30,63.580002,63.880001,62.919998,63.259998,55.500332,16840900
2015-05-01,63.700001,63.869999,63.330002,63.610001,55.807407,11640100
2015-05-04,63.680000,64.870003,63.639999,64.720001,56.781246,14972500
2015-05-05,64.510002,65.320000,64.290001,64.400002,56.500496,17692400
2015-05-06,64.529999,65.070000,63.419998,63.919998,56.079384,18087900
2015-05-07,63.669998,64.599998,63.250000,64.500000,56.588223,15039900
2015-05-08,64.970001,65.650002,64.599998,65.489998,57.456791,16802600
2015-05-11,65.260002,65.639999,65.080002,65.449997,57.421703,13798800
2015-05-12,65.309998,65.540001,64.760002,65.360001,57.342735,12762200
2015-05-13,65.419998,65.629997,65.059998,65.519997,57.483120,11874100
2015-05-14,65.830002,66.180000,65.709999,66.050003,57.948112,11855500
2015-05-15,66.129997,66.160004,65.440002,65.879997,57.798954,11152100
2015-05-18,65.800003,66.540001,65.800003,66.419998,58.272713,10510900
2015-05-19,66.769997,67.190002,66.570000,67.010002,58.790348,14282700
2015-05-20,66.949997,67.029999,66.400002,66.480003,58.325352,12446000
2015-05-21,66.139999,66.680000,66.010002,66.650002,58.474510,12934500
2015-05-22,66.629997,66.830002,66.320000,66.470001,58.316593,9296900
2015-05-26,66.199997,66.290001,65.309998,65.730003,57.667358,15571300
2015-05-27,65.949997,66.650002,65.820000,66.470001,58.316593,10963700
2015-05-28,66.360001,66.400002,65.739998,66.199997,58.079708,11797400
2015-05-29,66.180000,66.220001,65.360001,65.779999,57.711231,14310700
2015-06-01,65.989998,66.660004,65.970001,66.080002,57.974430,11899300
2015-06-02,65.830002,66.389999,65.580002,66.019997,57.921780,12784200
2015-06-03,66.430000,67.129997,66.269997,66.699997,58.518372,12927300
2015-06-04,66.309998,67.050003,66.010002,66.330002,58.193756,13863300
2015-06-05,67.370003,67.839996,67.010002,67.419998,59.150066,20801100
2015-06-08,67.459999,67.550003,66.809998,66.889999,58.685070,14558700
2015-06-09,66.949997,67.269997,66.470001,67.180000,58.939495,13263500
2015-06-10,67.589996,68.500000,67.470001,68.260002,59.887028,17478900
2015-06-11,68.360001,68.680000,68.150002,68.519997,60.115120,13739900
2015-06-12,68.309998,68.540001,67.870003,68.250000,59.878246,11804700
